CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
accurate position and posture control,accurate position and posture control,attitude error function | attitude tracking error | defining inertial and individual coordinate systems | reliable controller | system internal state coupling | unknown external disturbance,,3552,1,1,sensors | autonomous flight control
accurate power facility inspection,accurate power facility inspection,micro motor driven | second camera horizontal rotation | second camera vertical rotation,drone constrained to guide rail | electric power tunnel inspection device | first actuating mechanism | mount pad | return mechanism,3508 | 3509,2,1,camera | sensors
accurate remote control,accurate remote control,electric aircraft device fly synchronously | line rail power grid,electric aircraft device | free telescopic power supply connecting line | free telescopic power supply line | line rail power grid grasping mechanism | line rail type power grid | robot power supply,2927,1,1,autonomous flight control | blades
accurate remote resistivity measurement,accurate remote resistivity measurement,,device for sending or receiving letters and parcels | element for building opening,4157,1,1,telecommunication | sensors
accurate residual life estimation,accurate residual life estimation,calculating heating coefficient | using output current and temperature,attached to tank inner wall | foam liquid spraying unit | vacuum box frame,4393,1,1,CO2 gas-gap insulation | survival heaters
accurate roll angle control,accurate roll angle control,angle second euler step | determining whether data source | manual pattern spot sequencing,,4579,1,1,sensors | autonomous flight control
accurate simultaneous arrival,accurate simultaneous arrival,acquiring relative rotation matrix | apron coordinates | calculating Euler angles | controlling multiple aircrafts | conversion rotation matrix | cooperative guidance command | determining horizontal offset | horizontal oscillation frequency and amplitude,,2287,1,1,avionics processing | autonomous flight control
accurate soil moisture analysis,accurate soil moisture analysis,compare UAV soil moisture data with field measurements | select optimal soil moisture measurement point | using artificial intelligence,lighting unit on cover upper surface,5033 | 5034,2,1,sensors | camera
accurate survey model positioning,accurate survey model positioning,data transmission from camera | wireless UAV control,coordinate graph | ground image control points | image control points | remote control terminal | unmanned aerial vehicle system,5976,1,1,telecommunication | sensors
accurate target detection,accurate target detection,local model training,multi-machine collaborative reasoning | optical pod,387,1,1,camera | sensors
accurate tree location identification,accurate tree location identification,applying 3D mapping algorithm | collecting images and thermal images | data of power lines and terrain | selecting dangerous trees,generated 3D modeling data,493,1,1,camera | sensors
accurate water quality measurement,accurate water quality measurement | real-time water quality measurement,proximity based on location and distance to nearest object,GPS unit inside floating body | attached to lower surface of drone | control unit connected to sensors | detachable by connection part | drone with communication circuit | flight controller | floating body detachable to drone | floating body on lower side | floats on water surface | green algae prediction module | location information acquisition unit | plurality of water quality sensors | second memory for data storage | water intake instruction module | water quality analysis module,1940 | 4018,2,2,sensors | autonomous flight control
accurately dropped desired location,accurately dropped desired location,fixedly coupled first output | operation of second motor | rotating within discharge passage | shaft motor horizontally rotates,connection to hopper discharge port | controller for motor operation | first output shaft downward into hopper | hopper to discharge passage | impeller for quantitative discharge | pesticide tablet injection point | second output shaft into discharge passage,2387,1,1,blades | autonomous flight control
achieve better work task effect,achieve better work task effect,based on mixing strategy | controlling UAV movement speed | inputting state information | outputting speed control parameters | repeating until landing | selecting mobile landing model,glass cleaning robot | mooring rope | unmanned aerial vehicle,5863 | 5864,2,1,autonomous flight control | sensors
achieve communication at different position,achieve communication at different position,,detachable remote control | storage box with drone,3345 | 3346,2,1,telecommunication | autonomous flight control
achieve dynamic trapping,achieve dynamic trapping,detect target state information | inter-machine information interaction | wireless ultraviolet light secret communication,,5751 | 5752,2,1,telecommunication | batteries
achieve fixed-height flight,achieve fixed-height flight,calculate first height data | effective distance top hollow | unmanned aerial vehicle according | use air pressure data,,2004,1,1,autonomous flight control | sensors
achieve flight control,achieve flight control,acquire vertical speed and turning state | apply feedback to reinforcement learning networks | calculate real height | detection altitude and air pressure difference | determine flight phase | determine real height by flight stage | input flight command to dynamic model | input impedance parameter to impedance control model | obtain actual state and estimated state error | reinforcement learning network for flight command | reinforcement learning network for impedance parameter | use historical real height,detection height and air pressure height difference | electronic equipment and storage medium | method and device | ultrasonic sensor | unmanned aerial vehicle parachute control,865 | 866,2,1,autonomous flight control | sensors
achieve labor efficiency,achieve labor efficiency,input control unit | photography condition determination | target photography direction,about plurality photography locations | aerial photography system | mobile body | mobile-body geofences g100 g200 | obtained defining region encompassing | unit 380 location information,5418 | 5419,2,1,camera | sensors
achieve low surface energy,achieve low surface energy,,,172 | 173,2,1,landing system | blades
achieve minimal movement,achieve minimal movement,,UAV with fixed camera | control system for still camera position,3860 | 3861,2,1,autonomous flight control | sensors
achieve optimal pesticide effect,achieve optimal pesticide effect,include communication quality and location | include speed orientation altitude | provide tracking information to cellular network,,5933,1,1,telecommunication | sensors
achieve target striking,achieve target striking,,built-in UAV controls | handheld device in firearm fore-grip | optical array for light detection,2564,1,1,sensors | autonomous flight control
achieve uniform broadcasting effect,achieve uniform broadcasting effect,,broadcasting control device | broadcasting control method | fourth module affixed to top members | power source supplies thrusters | tetrahedral structure | unmanned aerial vehicle,5087,1,1,autonomous flight control | blades
achieves automatic inspection,achieves automatic inspection,,RTK reference station bidirectional with satellite | UAV connected to RTK reference station | UAV-mounted X-ray detection system | camera for aerial photography | communication radio station | communication radio station connected to UAV | controller connected to communication radio station | satellite output connection | track planning route data output | unmanned aerial vehicle,3321,1,1,telecommunication | autonomous flight control
achieves higher flight altitude,achieves higher flight altitude,,rear propeller pitch adjusting mechanism connected to rear propeller hub | rear propeller pitch mechanism mounted on seat,7 | 8,2,1,blades | autonomous flight control
achieves optimal path length,achieves optimal path length,balance initial BOA solution | overcome BOA convergence defects | self-adaptive nonlinear inertia weight | tent chaotic mapping,,3554,1,1,autonomous flight control | avionics processing
achieves optimum motive force,achieves optimum motive force,rotational speed DZ0 read to engine controller,controllers detect rotational speed | controls and drive shaft | current torque value DM | electric motor | electric motor controller | hybrid drive system | internal combustion engine | internal combustion engine controller | main rotor stabilizing flight | pilot control unit | predetermined rotational speed DZ0 | predetermined torque value DM0 | tachometer on drive shaft | torque sensor on drive shaft,90,1,1,blades | autonomous flight control
achieves smoothness index,achieves smoothness index,balance initial BOA solution | overcome BOA convergence defects | self-adaptive nonlinear inertia weight | tent chaotic mapping,,3554,1,1,autonomous flight control | avionics processing
achieving center of gravity management,achieving center of gravity management,calculating coherence at transmission points | control unit flight information | mapping corona discharge intensity | photographed image through photographing,asset data collector instantiation | automated data collection configurator | fuel tanks in wings | mission plan configuration | small volume usage,1143 | 1144,2,1,autonomous flight control | avionics processing
achieving convergence with less training,achieving convergence with less training,meta reinforcement learning decision model | parallel training in multiple environments,multitask experience pool,5103,1,1,autonomous flight control | avionics processing
achieving uniform operation,achieving uniform operation,acquiring UAV route | acquiring spectrogram | generating operation prescription map | reflecting vegetation growth | using spectrogram route parameters,operation prescription map,5545,1,1,camera | autonomous flight control
acid-base neutralization reaction,acid-base neutralization reaction,,multiple rods | pressure release tubing | reaction vessel | rods extending from housing to reaction vessel,903,1,1,fuselage | landing system
acquire 3D flight route,acquire 3D flight route,,,4242,1,1,autonomous flight control | sensors
acquire NDE sensor data,acquire NDE sensor data,calculate vector sum | project body coordinates on level plane | represent inclination angle | use aerial vehicle as origin,,4908 | 4909,2,1,sensors | camera
acquire PRS configuration information,acquire PRS configuration information,,first TOF of first SL PRS | first horn on actuator | linkage assembly with first linkage member | pivotally attached linkage end | second TOF of second SL PRS | second displacement vector,879 | 880,2,1,landing system | blades
acquire UAV movement destination information,acquire UAV movement destination information,,UAV landing platform | cavity within platform | track along platform and cavity,6223 | 6224,2,1,sensors | landing system
acquire accumulated abnormal times,acquire accumulated abnormal times,,,4763 | 4764,2,1,avionics processing | solar panel
acquire accurate data about power facilities,acquire accurate data about power facilities,,gimbal device for each axis | multi-axis gimbal device | plurality of measuring devices,6277,1,1,sensors | blades
acquire adjacent UAV information,acquire adjacent UAV information,2D binary polar histogram | 3D grid map representation | three-dimensional grid map with octree | two-dimensional binary polar coordinate histogram,,4792 | 4793 | 4794,3,1,sensors | camera
acquire advance damage signs,acquire advance damage signs,,first device is CCTV | first fixed monitoring device | integrated management server | monitoring device | optical cable | second device is drone with camera | second remotely movable device,5282,1,1,camera | sensors
acquire aerial images,acquire aerial images | acquire aerial vehicle image | acquire aerial video,,acquisition unit | calculation unit | ground trolley | multi-view inspection system | unmanned aerial vehicle,693 | 694 | 2134 | 4426 | 4427,5,3,camera | autonomous flight control
acquire air conditioner information,acquire air conditioner information,control unit separates wing | detachable wing unit,data acquisition unit | designation acquisition unit | flying body control unit | flying object control unit | information acquisition unit,4601 | 4602,2,1,avionics processing | autonomous flight control
acquire aircraft altitude,acquire aircraft altitude,cause first UAV to land | reduce cable length,aircraft sensor information | capturing module on aircraft | image capturing step | image information | terrain information | terrain information acquiring step,479,1,1,sensors | camera
acquire and process UAV flight and sensor data,acquire and process UAV flight and sensor data,black box wind disturbance model | training with flight record data,,4378 | 4379,2,1,avionics processing | autonomous flight control
acquire and store video signals,acquire and store video signals,,inspection target part | nuclear plant structure | safety inspection server | safety net for shock absorption,4826 | 4827,2,1,fuselage | landing system
acquire area information,acquire area information,apply max speed acceleration jerk constraints | control flight process | plan obstacle avoidance flight,calibration device | camera device | unmanned aerial vehicle,3371 | 3372,2,1,autonomous flight control | avionics processing
acquire barrier information,acquire barrier information,,standard flight path information,2193,1,1,avionics processing | autonomous flight control
acquire battery weight information,acquire battery weight information,,UAV landing platform | cavity within platform | track along platform and cavity,6223 | 6224,2,1,sensors | landing system
acquire blade image data,acquire blade image data,aerial camera acquisition | blade rotation process | planned route | surface image data acquisition | target blade passes shooting area | target surface area on blade,,5716,1,1,blades | camera
acquire blade images,acquire blade images | acquiring blade images,,airport base | laser radar | unmanned aerial vehicle,4476,1,2,blades | sensors
acquire bridge environmental data,acquire bridge environmental data | acquire environmental data,normalization processing server,UAV control device | UAV control method | automatic flight and shooting | computer equipment | mechanical and electrical components | memory device with identification data | routing planning device | unmanned aerial vehicle,4948 | 4949 | 5379,3,2,autonomous flight control | avionics processing
acquire bridge support images,acquire bridge support images,,carrier with cavity | double unmanned aerial vehicle | left unmanned aerial vehicle | mobile camera | payload within cavity | right and left UAVs | right unmanned aerial vehicle,4921,1,1,camera | fuselage
acquire camera position and attitude,acquire camera position and attitude,,charging device and method | charging electrode fourth least | charging system and platform | not-yet-imaged house | one second signal third | processor and memory | survey range map | unmanned aerial vehicle,685 | 686,2,1,camera | sensors
acquire camera shooting direction,acquire camera shooting direction,,control apparatus | control unit,5682 | 5683,2,1,camera | autonomous flight control
acquire camouflage data,acquire camouflage data,attitude loop | converting route coordinates | designing discrete time disturbance observer | designing tracking controllers | discretizing nonlinear model | estimating external disturbance | obtaining longitude and latitude waypoints | planning UAV flight route | position loop,,2786,1,1,sensors | autonomous flight control
acquire cell set,acquire cell set,,plurality of base stations | radio access network set | wireless communication network,6065,1,1,telecommunication | batteries
acquire communication condition information,acquire communication condition information,control rotor blade rotation rate | displace movable part while cruising | flight vehicle attitude tilted forward | movable part displaces from main body | rotation part with shell | rotation within angle range,main body supporting rotor blades | materials and equipment usage | movable part on main body | plurality of rotor blades,4956 | 4957,2,1,blades | autonomous flight control
acquire communication quality data,acquire communication quality data,establish reinforcement learning reward | improved Bezier curve | smooth turning section | use communication and environment data,control unit | power supply | unmanned aerial vehicle,5140,1,1,telecommunication | autonomous flight control
acquire control information,acquire control information,,control unit | holding unit,2726,1,1,autonomous flight control | avionics processing
acquire control input quantities,acquire control input quantities,,guide rope | guide rope connected to winding roll and UAV | hanging rope at balloon bottom | hydrogen production device | hydrogen tank | hydrogen tank connected to balloon | sliding mode anti-interference controller | total disturbance estimated value | variable speed approach law,6649,1,1,autonomous flight control | blades
acquire course angle PID controllers,acquire course angle PID controllers,course error proportional gain | reciprocal of prepositive distance | solve arc and linear target course angles | use course angle PID controllers,circular arc course proportional controller | course angle PID controller | linear course angle PID controller | same as circular arc controller | speed component in horizontal plane,5837,1,1,autonomous flight control | sensors
acquire current air pressure value,acquire current air pressure value,main formation task creation by first ground station | other ground stations join main formation task | reducing throttle value when actual ratio is smaller | setting main formation task data,base comprehensive processing platform | control unit | identification unit | mesh topology structure | portable lifesaving equipment | tree-shaped topological structure | video acquisition module | water falling person detection unit | wireless communication with sub-formation UAVs,5700 | 5701,2,1,avionics processing | autonomous flight control
acquire current environmental data,acquire current environmental data,,,6249,1,1,sensors | camera
acquire data from avionics system,acquire data from avionics system,,aircraft or vehicle hovering | support system,6546,1,1,avionics processing | autonomous flight control
acquire data from detecting portion,acquire data from detecting portion,,aircraft or vehicle hovering | support system,6546,1,1,autonomous flight control | blades
acquire data of flight routes,acquire data of flight routes,,actuator applying torque | carrier below main body | carrier coupled with fire extinguishing | control member | main body with reinforcing member,1474 | 1475,2,1,fuselage | avionics processing
acquire departure location information,acquire departure location information,,attach/detach inner end | fourth voltage-dependent switch | guide rail | landing pad part | power supply device on ground | power supply device output terminals | second voltage-dependent switch | third voltage-dependent switch,2491 | 2492,2,1,landing system | avionics processing
acquire detailed image,acquire detailed image,,bevel gears and connecting shaft | bottom plate | double-shaft stepping motor | peristaltic pump and fixing seats | rack guide rail and rack | rotary drum | rotary joint | synchronous belt pulley | water pipe joint,1539,1,1,blades | camera
acquire detailed lower branch vegetation information,acquire detailed lower branch vegetation information,,distance from low-altitude drone | high-altitude drone | multi-drone unit | precise pest and disease database | side drones photographing vegetation sides | three-dimensional spectral image data | vertical upper part,6672,1,1,sensors | camera
acquire distance information,acquire distance information,,first TOF of first SL PRS | first horn on actuator | linkage assembly with first linkage member | pivotally attached linkage end | second TOF of second SL PRS | second displacement vector,880,1,1,landing system | sensors
acquire distance to forced landing area,acquire distance to forced landing area,,mounting device fixed to fuselage,3989 | 3990,2,1,landing system | fuselage
acquire distance to standard flight path,acquire distance to standard flight path,,standard flight path information,2193,1,1,autonomous flight control | avionics processing
acquire distances between points,acquire distances between points,flight mode switch | receiving by base station | sending mode switching information,central mounting part | first airbag held by holding part | first airbag surrounding drone | horizontal plane,933 | 934,2,1,autonomous flight control | sensors
acquire draft image information,acquire draft image information,,UAV camera | eyewear camera | photographing unit | preprocessing unit | processor timestamps frames,1373 | 1374,2,1,camera | avionics processing
acquire effective data,acquire effective data,establish target function | improve contract network algorithm,,567,1,1,avionics processing | telecommunication
acquire effective route,acquire effective route | acquire operation route,include communication quality and location | include speed orientation altitude | provide tracking information to cellular network,system for correcting surrounding route,5207 | 5933,2,2,telecommunication | camera
acquire emergency vehicle information,acquire emergency vehicle information,arc tangent function | nonlinear decreasing strategy,composite skin | internal structure | sealable removable camera window,4548 | 4549,2,1,camera | CO2 gas-gap insulation
acquire environmental data by aerial vehicles,acquire environmental data by aerial vehicles,,at least two blades | blades connected to hub | hub,6140 | 6141,2,1,blades | autonomous flight control
acquire equipment information,acquire equipment information,generate aircraft conditioning data | using sensor,NFC card | NFC module | information comparison module | information identification module | information positioning module | information storage module | invention relates technical field | patrol and examine unit | wind power plant inspection,3739,1,1,avionics processing | solar panel
acquire event location,acquire event location,task software interoperates with equipment | unmanned vehicle downloads task software,first capsule type drone | first drone linkage cable | perpendicular launch tube | torpedo tube launch,2607 | 2608,2,1,telecommunication | autonomous flight control
acquire exit information,acquire exit information,,standard flight path information,2193,1,1,avionics processing | autonomous flight control
acquire fan point cloud data,acquire fan point cloud data,,base connected to clamping device | battery mounted in mounting space | battery replacement module | clamp connected to base | clamping and centering device on inner cabin | locking and charging device on clamping device | new battery mounting | pneumatic hydraulic clamp for charging,3649 | 3650 | 3651,3,1,solar panel | batteries
acquire first and second images,acquire first and second images | acquire first and second interior images,,acquisition unit | detection system | map generation unit | second image narrower area,4478 | 5653,2,2,camera | sensors
acquire first cargo information,acquire first cargo information,,,4029,1,1,camera | avionics processing
acquire first state information,acquire first state information,,,4029,1,1,avionics processing | sensors
acquire first type information,acquire first type information,quality level based on type information,heating element of carbon fiber | surface heating means,2358 | 2359,2,1,CO2 gas-gap insulation | survival heaters
acquire flight track,acquire flight track | obtain complete flight track,constructing target allocation model | maximizing cluster comprehensive function | maximizing cluster situation function | resolving target allocation model,Central Fulfillment Center origin | contain multiple consumer orders | historical flight data processing | monitored flight tracks | monitoring blind area boundary | multibox packages | short period flight sections | unmanned aerial vehicle monitoring system,1716 | 2025 | 2026,3,2,autonomous flight control | avionics processing
acquire global environment transformation,acquire global environment transformation,MADDPG network with average field theory module | input environment to planning model | model outputs UAV cluster task planning | training improved MADDPG model,second UAVs form residual cluster | task execution environment,546,1,1,autonomous flight control | avionics processing
acquire goods weight for UAV,acquire goods weight for UAV,calculate distance to point | process field data to 2D image,driving piece | mounting piece | transmission assembly,4693,1,1,camera | avionics processing
acquire ground image,acquire ground image | acquire ground video,confirmed after moving location | purchaser only authentication information,ground trolley | multi-view inspection system | purchaser authentication information server | relays data related used | unmanned aerial vehicle,2134 | 5778 | 5779,3,2,camera | sensors
acquire high-quality SAR image,acquire high-quality SAR image,Fourier transform on raw data | compression in azimuth direction | distance moving compensation | motion compensation,GNSS and IMU data | data acquisition unit | data fusion unit | radar GNSS IMU data,2842,1,1,sensors | camera
acquire identification information,acquire identification information,,,945,1,1,avionics processing | sensors
acquire illuminance information,acquire illuminance information,,first angle adjustment mechanism | first detection structure center | illuminance luminance test set | second and first detection structures | second angle adjustment mechanism | second detection structures sides | steady dimension mechanism | three detection structures arranged level,5456,1,1,sensors | camera
acquire image data of structure,acquire image data of structure,,,4909,1,1,camera | sensors
acquire image from aircraft,acquire image from aircraft,,aircraft control apparatus | command generation unit | display unit | electric wire | inspection target | integrated roofing accessory | pipe,2089 | 2090,2,1,camera | avionics processing
acquire image from vehicle-mounted cameras,acquire image from vehicle-mounted cameras,vehicle-mounted camera,aerial transforming drone | control method | image captured by drone,2751,1,1,camera | autonomous flight control
acquire images from different directions,acquire images from different directions,,GPS and flight controller | UAV wireless communication | cooperative driving system | flight control tower | flight path generated by control tower | path generation algorithm | wireless channel for telemetry,3519 | 3520,2,1,autonomous flight control | sensors
acquire information by unmanned aerial vehicle,acquire information by unmanned aerial vehicle,Markov game model,cloud management platform | monitor image and tracking information,3376 | 3377,2,1,sensors | autonomous flight control
acquire landing parameters,acquire landing parameters,,bottom plate with water inlet | closing device | cover plate | half-open one-way valve | one-way valve | overflow hole | sampling cylinder connected by rope | sealing device | stop block on inner wall | unmanned aerial vehicle,3187 | 3188,2,1,landing system | sensors
acquire linked list information,acquire linked list information,2D binary polar histogram | 3D grid map representation | three-dimensional grid map with octree | two-dimensional binary polar coordinate histogram,,4792 | 4793 | 4794,3,1,camera | sensors
acquire local wind conditions,acquire local wind conditions,correct forecast values | correlation of time-series data,communication device | information processing device | optical analysis unit,6534,1,1,avionics processing | sensors
acquire location image attribute information,acquire location image attribute information,control drone arranges net around honeycomb | leader drone controls net entrance blocking,,6338 | 6339 | 6340,3,1,autonomous flight control | blades
acquire machine location,acquire machine location,task software interoperates with equipment | unmanned vehicle downloads task software,first capsule type drone | first drone linkage cable | perpendicular launch tube | torpedo tube launch,2607 | 2608,2,1,autonomous flight control | blades
acquire mine environment data,acquire environment information | acquire mine environment data,,electric telescopic handle | emergency lighting lamp | fifth bevel gear | fixed frame | fourth bevel gear | ground height | pitch angle | plurality of base stations | radio access network set | sixth bevel gear | wireless communication network,6065 | 6379 | 6380,3,2,telecommunication | sensors
acquire mission flight route,acquire mission flight route,,communication system | electronic device | method and system for flight device control | storage medium | weather model generation logic | worksite action identification logic,5791 | 5792 | 5793,3,1,avionics processing | autonomous flight control
acquire motion information,acquire motion information,maintain angle between movement direction and tracking line,,4565 | 4566,2,1,sensors | autonomous flight control
acquire movement instruction from sub-drone,acquire movement instruction from sub-drone,,central foot | connection to platform | including taking-off landing flying | mechanical connections | movement instruction unit determines | position sub-drone basis current | reduce environmental influence flight,892,1,1,autonomous flight control | landing system
acquire moving obstacle track,acquire moving obstacle track,,,4251,1,1,camera | sensors
acquire multi-source sensor data,acquire multi-source sensor data,calculate deviation guiding data | comprehensive guide information calculation | convert errors to control deviation | forecast deviation ephemeris | nominal guiding data,Mars surface visual environment | Unity3D simulation engine | camera | laser radar | ranging sensor | virtual sensor modules,37 | 38,2,1,sensors | camera
acquire multiple images of target object,acquire multiple images of target object,relay module controls power supply | rotating distance measurement device,buzzer unit | key module | memory connected to processor | primary and secondary controller modules | processor | relay and power modules | unmanned aerial vehicle remote power switch,5402 | 5403,2,1,avionics processing | sensors
acquire multispectral orthoimage,acquire multispectral orthoimage,,alignment unit in drone body | communication module transmitting data | detachable multispectral sensor | drone body with flight controller and battery | magnet section on lower side | memory connected to alignment unit,1984,1,1,sensors | camera
acquire next navigation time,acquire next navigation time | acquire target navigation time,send switching command on threshold,,5441,1,2,sensors | autonomous flight control
acquire next waypoint,acquire next waypoint,send switching command on threshold,,5441,1,1,autonomous flight control | avionics processing
acquire original and latest town maps,acquire original and latest town maps,breast height diameter generated from breast height part information | processing in calculation section,arm inner end attachment | body base part | breast height part information | connection part | end circumferential direction body | insertion portion | lightweight and high rigidity | mechanism screwed formed other | screw inlet | terrain height from point cloud | tree trunk detection processing section,3368 | 3369,2,1,camera | sensors
acquire orthoimages and videos,acquire orthoimages and videos,,generates image and point cloud data | photography unit | uses at least one drone,4313,1,1,camera | sensors
acquire patient position information,acquire patient position information,acquire maximum signal coordinate | match auxiliary service types,delivery goods storage | first transfer unit | interface unit | loading unit | second transfer unit,5146 | 5147,2,1,landing system | sensors
acquire photovoltaic station image,acquire photovoltaic station image,external expansion of sub-regions | processor judges moving target existence | processor sends detection signal | processor sends early warning information | second detector detects moving target | uniform waypoint planning per subregion,,3808,1,1,avionics processing | camera
acquire positioning marks,acquire positioning marks,,bracket at bottom | bracket lifting lugs | connecting grooves | fixed horns on fixing base inner wall | fixed lifting lug | fixing frame connections | lifting lug springs | mounting base on fixing base lower surface | semicircular end | supporting frames on fixing base lower surface | unmanned aerial vehicle body | wheel frame connected | wheel frame lifting lugs,2762 | 2763,2,1,landing system | fuselage
acquire power inspection route,acquire power inspection route,,computer equipment | power line inspection UAV | route application method,2653,1,1,camera | solar panel
acquire power tower data,acquire power tower data,data power tower defined | drawing target route | geographic position information simulating | obtaining 3D model data,motor boom supporting motor | motor oriented to generate lift,5675,1,1,blades | sensors
acquire radiation data,acquire radiation data,analyze point cloud data | obtain laser point cloud data | scan with 3D laser radar,,6166,1,1,sensors | camera
acquire radio access network set,acquire radio access network set,,plurality of base stations | radio access network set | wireless communication network,6065,1,1,telecommunication | batteries
acquire radio frequency spectrums,acquire radio frequency spectrums,,,6689,1,1,telecommunication | solar panel
acquire real-time flight images,acquire real-time flight images,,image acquisition module | image processing module | score calculation module,5250 | 5251,2,1,avionics processing | camera
acquire real-time flight position,acquire real-time flight position,,memory storing stopping point positions | ocean information acquisition | position information acquisition unit | radar device unit | stationary flight radar signal generation,1586,1,1,avionics processing | sensors
acquire real-time investigation and hangar data,acquire investigation and hangar data | acquire real-time investigation and hangar data,,accident analysis module | battery power system | data acquisition module | electric quantity consumption data analysis module | flexible solar panel film | lifting devices | propeller-driven lifting devices,5276 | 5277,2,2,solar panel | avionics processing
acquire real-time vibration data,acquire real-time vibration data,,display devices | holographic fan body | multiple display groups | radially arranged display devices | rotation driving device | rotation shaft,5588,1,1,blades | sensors
acquire real-time video,acquire real-time video,acquire UAV current height | compare with return point height | respond to return trigger,UAV apparatus | UAV control method | storage medium,5392,1,1,autonomous flight control | sensors
acquire recovery flight path,acquire recovery flight path,controller controls flight position | image transmitted to controller | visual sensor,aerial host machine | central control module | machine body | main camera | recovery net collecting and releasing subsystem | recovery net opened by air flow | recovery net subsystem structure | recovery net subsystems | side cameras,4943 | 4944,2,1,autonomous flight control | avionics processing
acquire remaining battery charge information,acquire remaining battery charge information,,,6224,1,1,batteries | survival heaters
acquire road data in real time,acquire road data in real time,,automatic water adding system | paver connected to road roller cluster | positioning base station | positioning base station provides differential positioning data | road roller cluster,5785,1,1,telecommunication | camera
acquire satellite map,acquire satellite map,position info from radar,,5523 | 5524,2,1,sensors | camera
acquire second vehicle state,acquire second vehicle state,control quantity of flight segments | course instruction angle,vacant parking space,3336,1,1,autonomous flight control | avionics processing
acquire semantic environment information,acquire semantic environment information,,second calculation module | sensing module | smart car modules | unmanned aerial vehicle components,3325,1,1,sensors | camera
acquire sensing information at next location,acquire sensing information at next location,calculates objective function value | estimates energy for sensing | estimates flight time | objective function for candidates,UAV | information acquisition location,6518,1,1,sensors | avionics processing
acquire sensor data from other methods,acquire sensor data from other methods,process sensor data for concurrent display | real-time navigation visualization,,3264,1,1,sensors | camera
acquire sensor data from vehicles,acquire sensor data from vehicles,process sensor data for concurrent display | real-time navigation visualization,,3264,1,1,camera | sensors
acquire shooting control information,acquire shooting control information,,device and system | mission height definition | route planning method | shooting target location | starting plane for overlap ratio | storage medium,3319,1,1,autonomous flight control | landing system
acquire shooting target position,acquire shooting target position,,,6265,1,1,autonomous flight control | camera
acquire single-shot images,acquire single-shot images,generate matched image | match image feature data | obtain environmental information,,6268,1,1,camera | sensors
acquire spot luminance,acquire spot luminance,,first angle adjustment mechanism | first detection structure center | illuminance luminance test set | second and first detection structures | second angle adjustment mechanism | second detection structures sides | steady dimension mechanism | three detection structures arranged level,5456,1,1,sensors | camera
acquire static obstacle contour points,acquire static obstacle contour points,,,4251,1,1,camera | sensors
acquire survey range map,acquire survey range map,,charging device and method | charging electrode fourth least | charging system and platform | not-yet-imaged house | one second signal third | processor and memory | survey range map | unmanned aerial vehicle,685 | 686,2,1,camera | sensors
acquire survey target house position,acquire survey target house position,,charging device and method | charging electrode fourth least | charging system and platform | not-yet-imaged house | one second signal third | processor and memory | survey range map | unmanned aerial vehicle,685 | 686,2,1,sensors | camera
acquire takeoff and landing positions,acquire takeoff and landing positions,,standard flight path information,2193,1,1,landing system | autonomous flight control
acquire target control request,acquire target control request,capturing image at each waypoint | determining bounding box | finding geometric center | identifying object based on person pointing | navigating to waypoints,,925 | 926,2,1,camera | sensors
acquire target coordinates by drone,acquire target coordinates by drone,coordinate correction with DEM | digital elevation model,,6363,1,1,camera | sensors
acquire target image,acquire target image | acquiring monitoring target image,additional member protrudes | installation groove,flying vehicle with built-in retroreflector | mounted on transport drone | movable storage base with installation groove | pressurizing drive unit | storage space | wind turbine additional member installation device,2476 | 5426 | 5427,3,2,landing system | blades
acquire target information,acquire target information,,data presentation system | maintain target track | plurality of tracking agents | vehicle and aircraft | vehicle with multiple display areas,5212,1,1,avionics processing | autonomous flight control
acquire target routing position,acquire target routing position,,intelligent equipment | line inspection system | unmanned aerial vehicle,4189,1,1,autonomous flight control | camera
acquire task area evaluation data,acquire task area evaluation data,compensation of model errors | connect with command terminal | direct connection with command terminal | discrete adaptive sliding mode control | nonlinear control realization | robustness to external disturbance | select highest priority terminals | unknown dynamic model parameters,,6169 | 6170,2,1,avionics processing | autonomous flight control
acquire task if requester in working area,acquire task if requester in working area,obtain task distribution signals | spatial crowdsourcing server sends allocation | underwater robot resurfaces | use residual effective time,,5310,1,1,telecommunication | sensors
acquire terrain information during flight,acquire terrain information during flight,,drone and GPS surveying system | flight path location storage | linkage drive unit | topographic information database | upright orientation,5365,1,1,sensors | camera
acquire thermal imaging picture,acquire thermal imaging picture,,industrial X-ray machine | unmanned aerial vehicle | upper apparatus,5263,1,1,camera | avionics processing
acquire topographic front information,acquire topographic front information,,information processing apparatus | processing section,5245 | 5246,2,1,avionics processing | camera
acquire tower image information,acquire tower image information,acquire tower image information | check suitability for aircraft state | control commands via first channel | control flight inspection | determine machine and image points | determine position points by corner angles | monitor control commands | send position points to inspection equipment | use tower data and corner angle | use tower data and inspection line,,5507 | 5508,2,1,sensors | avionics processing
acquire transverse movement instruction,acquire transverse movement instruction,,control method | material storage apparatus | output apparatus | storage medium | unmanned aerial vehicle system,5771,1,1,autonomous flight control | avionics processing
acquire underwater and position information,acquire underwater and position information,,GPS position information | floating marine observation unit | marine observation system | marine observation unit | unmanned aerial vehicle | wireless communication module,6361,1,1,sensors | camera
